"AnimalID","Timestamp","X","Y","Z","ODBA"
"154",2025-06-03 13:39:21.96,0.76563,-0.08594,0.42188,0.1186782
"154",2025-06-03 13:39:23.96,0.82813,0.28906,0.21094,0.437649600000001
"154",2025-06-03 13:39:25.96,0.78906,0.42188,0.29688,0.0386106000000004
"154",2025-06-03 13:39:27.96,0.6875,0.58594,0.46094,0.3445352
"154",2025-06-03 13:39:29.96,0.78125,0.35156,0.5,0.150782599999999
"154",2025-06-03 13:39:31.96,0.67969,-0.17188,0.61719,0.277036200000001
"154",2025-06-03 13:39:33.96,-0.40625,-0.0625,0.91406,0.7495286
"154",2025-06-03 13:39:35.96,0.16406,0.10156,0.57031,0.7182814
"154",2025-06-03 13:39:37.96,0.05469,0.32813,0.77344,1.1974606
"154",2025-06-03 13:39:39.96,0.22656,-0.14063,0.92969,0.6670408
"154",2025-06-03 13:39:41.96,0.19531,-0.29688,0.89063,0.0140512
"154",2025-06-03 13:39:43.96,0.54688,-0.14844,0.74219,0.4599794
"154",2025-06-03 13:39:45.96,-0.375,0.07813,0.92188,0.624851999999999
"154",2025-06-03 13:39:47.96,-0.50781,-0.11719,0.8125,0.498126400000001
"154",2025-06-03 13:39:49.96,-0.16406,-0.61719,0.77344,0.54896
"154",2025-06-03 13:39:51.96,-0.15625,-0.38281,0.92188,0.203601
"154",2025-06-03 13:39:53.96,-0.09375,-0.25,0.9375,0.164999999999999
"154",2025-06-03 13:39:55.96,-0.125,0.14844,0.92969,0.3779064
"154",2025-06-03 13:39:57.96,-0.08594,-0.35156,0.92969,0.4053086
"154",2025-06-03 13:39:59.96,-0.03125,-0.21875,0.9375,0.0431253999999999
"154",2025-06-03 13:40:01.96,0.59375,-0.08594,0.74219,0.714073400000001
"154",2025-06-03 13:40:03.96,0.55469,0.0625,0.73438,0.219068199999999
"154",2025-06-03 13:40:05.96,0.46875,0.17969,0.78125,0.1185956
"154",2025-06-03 13:40:07.96,0.57031,0.01563,0.74219,0.0570611999999996
"154",2025-06-03 13:40:09.96,-0.21094,-0.26563,0.85156,1.3409316
"154",2025-06-03 13:40:11.96,-0.39063,0.26563,0.84375,0.186727600000001
"154",2025-06-03 13:40:13.96,-0.24219,0.14844,0.78906,0.417769800000001
"154",2025-06-03 13:40:15.96,0.10156,0.28125,0.80469,0.473278200000001
"154",2025-06-03 13:40:17.96,-0.27344,-0.1875,0.89063,0.0864038000000006
"154",2025-06-03 13:40:19.96,-0.25781,-0.00781,0.92188,0.2284374
"154",2025-06-03 13:40:21.96,0.0625,-0.0625,0.98438,0.441257199999999
"154",2025-06-03 13:40:23.96,-0.03125,-0.07813,0.95313,0.0975010000000001
"154",2025-06-03 13:40:25.96,0.21875,-0.61719,0.6875,0.6390714
"154",2025-06-03 13:40:27.96,-0.73438,-0.48438,0.25781,1.4787636
"154",2025-06-03 13:40:29.96,0.60938,-0.46094,0.39844,1.078443
"154",2025-06-03 13:40:31.96,0.64063,-0.95313,0.35156,0.8596544
"154",2025-06-03 13:40:33.96,0.25,-1.24219,0.10156,1.3385998
"154",2025-06-03 13:40:35.96,-0.67969,-0.4375,-0.42188,0.350943200000001
"154",2025-06-03 13:40:37.96,-0.29688,0.07031,-0.97656,0.7480962
"154",2025-06-03 13:40:39.96,-0.24219,-0.28125,-0.84375,0.8639046
"154",2025-06-03 13:40:41.96,-0.53125,-0.625,0.51563,0.997349799999999
"154",2025-06-03 13:40:43.96,0.20313,0.05469,0.9375,1.2784256
"154",2025-06-03 13:40:45.96,0.19531,-0.75,-0.71875,1.303753
"154",2025-06-03 13:40:47.96,0.14844,-0.17188,0.94531,1.001086
"154",2025-06-03 13:40:49.96,-0.02344,-0.13281,0.82813,0.229614800000001
"154",2025-06-03 13:40:51.96,0.10156,-0.82813,-0.73438,1.8804748
"154",2025-06-03 13:40:53.96,0.3125,-0.19531,0.3125,0.431714399999999
"154",2025-06-03 13:40:55.96,0.48438,-0.14844,0.76563,0.549475199999998
"154",2025-06-03 13:40:57.96,-0.41406,0.89844,-0.26563,0.710160400000001
"154",2025-06-03 13:40:59.96,-0.85156,0.36719,0.35938,0.3273456
"154",2025-06-03 13:41:01.96,0.75781,-0.125,0.41406,1.1131946
"154",2025-06-03 13:41:03.96,0.45313,-0.71875,0.76563,0.877188000000001
"154",2025-06-03 13:41:05.96,0.55469,-0.27344,0.67188,0.194690599999998
"154",2025-06-03 13:41:07.96,0.54688,-0.51563,0.73438,0.240667399999999
"154",2025-06-03 13:41:09.96,0.19531,1.03125,0.32031,1.1767252
"154",2025-06-03 13:41:11.96,0.07031,0.13281,1.03125,0.612031199999998
"154",2025-06-03 13:41:13.96,-0.42969,0.04688,0.51563,1.0372304
"154",2025-06-03 13:41:15.96,0.36719,0.63281,0.03906,0.355945399999998
"154",2025-06-03 13:41:17.96,0.36719,0.875,-0.48438,0.135941599999999
"154",2025-06-03 13:41:19.96,0.17188,0.17188,-0.38281,0.510536600000001
"154",2025-06-03 13:41:21.96,1.11719,0.83594,-0.71875,1.5417208
"154",2025-06-03 13:41:23.96,0.90625,0.48438,-0.05469,0.0931328000000025
"154",2025-06-03 13:41:25.96,0.90625,0.27344,0.08594,0.0715394000000006
"154",2025-06-03 13:41:27.96,0.90625,0.26563,0.08594,0.00250219999999887
"154",2025-06-03 13:41:29.96,0.90625,0.25781,0.08594,0.011094999999998
"154",2025-06-03 13:41:31.96,1.01563,0.24219,-0.07031,0.277122199999999
"154",2025-06-03 13:41:33.96,0.88281,0.21875,-0.16406,0.0789112000000015
"154",2025-06-03 13:41:35.96,0.75,0.00781,-0.05469,0.325788600000001
"154",2025-06-03 13:41:37.96,1.05469,0.46094,0.38281,0.555774999999999
"154",2025-06-03 13:41:39.96,0.88281,0.35938,-0.02344,0.682964199999998
"154",2025-06-03 13:41:41.96,0.8125,0.17969,0.04688,0.256411400000001
"154",2025-06-03 13:41:43.96,1.01563,0.11719,0.01563,0.388380999999999
"154",2025-06-03 13:41:45.96,0.95313,0.125,-0.08594,0.267352999999999
"154",2025-06-03 13:41:47.96,0.88281,0.21875,0,0.102064400000002
"154",2025-06-03 13:41:49.96,0.88281,0.875,0.20313,1.0664142
"154",2025-06-03 13:41:51.96,0.21875,1.17969,-0.14063,1.5986002
"154",2025-06-03 13:41:53.96,0.60156,-0.10156,-0.03125,0.564857200000001
"154",2025-06-03 13:41:55.96,-0.57813,-3.98438,3.80469,9.2950134
"154",2025-06-03 13:41:57.96,1,0.05469,-0.35938,0.385780999999998
"154",2025-06-03 13:41:59.96,0.96094,0.14063,-0.27344,0.241957799999999
"154",2025-06-03 13:42:01.96,0.33594,0.26563,0.1875,0.692972000000002
"154",2025-06-03 13:42:03.96,0.90625,-0.03125,0.00781,0.335152999999998
"154",2025-06-03 13:42:05.96,0.91406,0.19531,-0.04688,0.073718400000002
"154",2025-06-03 13:42:07.96,0.91406,0.17969,-0.03906,0.0556308000000013
"154",2025-06-03 13:42:09.96,0.86719,0.28906,-0.02344,0.268431800000001
"154",2025-06-03 13:42:11.96,1.33594,1.42969,-0.24219,1.7674994
"154",2025-06-03 13:42:13.96,0.84375,0.4375,-0.04688,0.280778400000002
"154",2025-06-03 13:42:15.96,0.9375,0.10938,-0.03125,0.0464024000000016
