Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7261.426556122449	7264.426556122449	150	15000	pesowl1	Pearl-spotted Owlet	0.7232
2	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7272.626556122449	7275.626556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7918
3	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7283.826556122449	7286.826556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7402
4	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7362.226556122449	7365.226556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9759
5	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7367.826556122449	7370.826556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7763
6	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7370.626556122449	7373.626556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8311
7	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7387.426556122449	7390.426556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7328
8	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7426.626556122449	7429.626556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9253
9	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7463.02655612245	7466.02655612245	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9189
10	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7474.226556122449	7477.226556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8669
11	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7491.02655612245	7494.02655612245	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9254
12	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7513.426556122449	7516.426556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7592
13	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7516.226556122449	7519.226556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9417
14	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7569.426556122449	7572.426556122449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8588
15	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7619.82655612245	7622.82655612245	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8251
16	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7731.826556122451	7734.826556122451	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7109
17	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7740.22655612245	7743.22655612245	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7204
