"X","Temp","DateTime"
1,24.641,2025-03-14 14:07:45
2,NA,2025-03-14 14:07:51
3,22.238,2025-03-14 15:07:45
4,21.855,2025-03-14 16:07:45
5,21.473,2025-03-14 17:07:45
6,21.473,2025-03-14 18:07:45
7,21.282,2025-03-14 19:07:45
8,21.282,2025-03-14 20:07:45
9,21.187,2025-03-14 21:07:45
10,21.282,2025-03-14 22:07:45
11,21.187,2025-03-14 23:07:45
12,21.187,2025-03-15 00:07:45
13,21.091,2025-03-15 01:07:45
14,21.187,2025-03-15 02:07:45
15,21.091,2025-03-15 03:07:45
16,21.091,2025-03-15 04:07:45
17,21.091,2025-03-15 05:07:45
18,21.091,2025-03-15 06:07:45
19,21.091,2025-03-15 07:07:45
20,23.1,2025-03-15 08:07:45
21,25.61,2025-03-15 09:07:45
22,22.812,2025-03-15 10:07:45
23,22.238,2025-03-15 11:07:45
24,21.76,2025-03-15 12:07:45
25,21.664,2025-03-15 13:07:45
26,21.664,2025-03-15 14:07:45
27,21.473,2025-03-15 15:07:45
28,21.378,2025-03-15 16:07:45
29,21.282,2025-03-15 17:07:45
30,21.187,2025-03-15 18:07:45
31,21.282,2025-03-15 19:07:45
32,21.282,2025-03-15 20:07:45
33,21.282,2025-03-15 21:07:45
34,21.282,2025-03-15 22:07:45
35,21.187,2025-03-15 23:07:45
36,21.282,2025-03-16 00:07:45
37,21.187,2025-03-16 01:07:45
38,21.187,2025-03-16 02:07:45
39,21.187,2025-03-16 03:07:45
40,21.282,2025-03-16 04:07:45
41,21.187,2025-03-16 05:07:45
42,21.282,2025-03-16 06:07:45
43,21.282,2025-03-16 07:07:45
44,21.569,2025-03-16 08:07:45
45,21.951,2025-03-16 09:07:45
46,21.76,2025-03-16 10:07:45
47,21.855,2025-03-16 11:07:45
48,21.569,2025-03-16 12:07:45
49,21.569,2025-03-16 13:07:45
50,21.569,2025-03-16 14:07:45
51,21.569,2025-03-16 15:07:45
52,21.569,2025-03-16 16:07:45
53,21.473,2025-03-16 17:07:45
54,21.473,2025-03-16 18:07:45
55,21.282,2025-03-16 19:07:45
56,21.282,2025-03-16 20:07:45
57,21.187,2025-03-16 21:07:45
58,21.282,2025-03-16 22:07:45
59,21.091,2025-03-16 23:07:45
60,21.187,2025-03-17 00:07:45
61,21.187,2025-03-17 01:07:45
62,21.282,2025-03-17 02:07:45
