Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Annotation
1	Waveform 1	1	569.956061169	570.023741285	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
1	Spectrogram 1	1	569.956061169	570.023741285	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
2	Waveform 1	1	570.052747049	570.149432929	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
2	Spectrogram 1	1	570.052747049	570.149432929	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
3	Waveform 1	1	570.215179327	570.327334948	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
3	Spectrogram 1	1	570.215179327	570.327334948	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
4	Waveform 1	1	570.387280194	570.532309014	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
4	Spectrogram 1	1	570.387280194	570.532309014	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
5	Waveform 1	1	570.590320541	570.772089996	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
5	Spectrogram 1	1	570.590320541	570.772089996	0.000	22050.000	S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	C:\Users\vdemartsev\ownCloud - vdemartsev@ab.mpg.de@owncloud.gwdg.de\SA_field_course\Program\Rscripts\PAM\selection_tables\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	Lapwing
