RootFolder,File,RelativePath,DateTime,DeleteFlag,ImageNum,Species,
Station2,IMG_048.jpg,Session1, 2015-05-11 08:28:35,false,1,Deer,
Station2,IMG_049.jpg,Session1, 2015-05-11 08:28:36,false,2,Deer,
Station2,IMG_050.jpg,Session1, 2015-05-11 08:28:37,false,3,Deer,
Station2,IMG_051.jpg,Session1, 2015-05-15 15:05:14,false,1,Deer,
Station2,IMG_052.jpg,Session1, 2015-05-15 15:05:15,false,2,Deer,
Station2,IMG_053.jpg,Session1, 2015-05-15 15:05:16,false,3,Deer,
Station2,IMG_054.jpg,Session1, 2015-05-18 10:30:32,false,1,Deer,
Station2,IMG_055.jpg,Session1, 2015-05-18 10:30:33,false,2,Deer,
Station2,IMG_056.jpg,Session1, 2015-05-18 10:30:34,false,3,Deer,
Station2,IMG_057.jpg,Session1, 2015-05-18 10:30:37,false,4,Deer,
Station2,IMG_058.jpg,Session1, 2015-05-18 10:30:38,false,5,Deer,
Station2,IMG_059.jpg,Session1, 2015-05-18 10:30:39,false,6,Deer,
Station2,IMG_060.jpg,Session1, 2015-06-10 19:58:10,false,1,Puma,
Station2,IMG_061.jpg,Session1, 2015-06-10 19:58:13,false,2,Puma,
Station2,IMG_062.jpg,Session1, 2015-06-10 19:58:15,false,3,Puma,
Station2,IMG_063.jpg,Session1, 2015-06-10 19:58:31,true,0,,
Station2,IMG_001.jpg,Session1, 2015-06-10 19:58:34,true,0,,
Station2,IMG_002.jpg,Session1, 2015-06-10 19:58:36,true,0,,
Station2,IMG_003.jpg,Session1, 2015-06-11 19:40:41,false,1,Moose,
Station2,IMG_004.jpg,Session1, 2015-06-11 19:40:42,false,2,Moose,
Station2,IMG_005.jpg,Session1, 2015-06-11 19:40:43,false,3,Moose,
Station2,IMG_006.jpg,Session1, 2015-06-18 09:06:55,false,1,Deer,
Station2,IMG_007.jpg,Session1, 2015-06-18 09:06:56,false,2,Deer,
Station2,IMG_008.jpg,Session1, 2015-06-18 09:06:57,false,3,Deer,
Station2,IMG_009.jpg,Session1, 2015-06-18 09:07:07,false,4,Deer,
Station2,IMG_010.jpg,Session1, 2015-06-18 09:07:08,false,5,Deer,
Station2,IMG_011.jpg,Session1, 2015-06-18 09:07:09,false,6,Deer,
Station2,IMG_012.jpg,Session1, 2015-07-10 19:37:04,false,1,Wolf,
Station2,IMG_013.jpg,Session1, 2015-07-10 19:37:05,false,2,Wolf,
Station2,IMG_014.jpg,Session1, 2015-07-10 19:37:06,false,3,Wolf,
Station2,IMG_015.jpg,Session1, 2015-07-10 19:37:10,false,4,Wolf,
Station2,IMG_016.jpg,Session1, 2015-07-10 19:37:11,false,5,Wolf,
Station2,IMG_017.jpg,Session1, 2015-07-10 19:37:12,false,6,Wolf,
Station2,IMG_018.jpg,Session1, 2015-07-26 13:36:13,false,1,Deer,
Station2,IMG_019.jpg,Session1, 2015-07-26 13:36:14,false,2,Deer,
Station2,IMG_020.jpg,Session1, 2015-07-26 13:36:16,false,3,Deer,
Station2,IMG_021.jpg,Session1, 2015-09-18 21:31:32,false,1,Bobcat,
Station2,IMG_022.jpg,Session1, 2015-09-18 21:31:33,false,2,Bobcat,
Station2,IMG_023.jpg,Session1, 2015-09-18 21:31:34,false,3,Bobcat,
Station2,IMG_024.jpg,Session1, 2015-09-20 16:42:39,false,1,Bear,
Station2,IMG_025.jpg,Session1, 2015-09-20 16:42:40,false,2,Bear,
Station2,IMG_026.jpg,Session1, 2015-09-20 16:42:41,false,3,Bear,
Station2,IMG_027.jpg,Session1, 2015-09-21 10:57:05,false,1,Deer,
Station2,IMG_028.jpg,Session1, 2015-09-21 10:57:06,false,2,Deer,
Station2,IMG_029.jpg,Session1, 2015-09-21 10:57:08,false,3,Deer,
Station2,IMG_030.jpg,Session1, 2015-11-06 05:14:28,false,1,Deer,
Station2,IMG_031.jpg,Session1, 2015-11-06 05:14:29,false,2,Deer,
Station2,IMG_032.jpg,Session1, 2015-11-06 05:14:30,false,3,Deer,
Station2,IMG_033.jpg,Session1, 2016-02-18 11:32:22,false,1,Coyote,
Station2,IMG_034.jpg,Session1, 2016-02-18 11:32:23,false,2,Coyote,
Station2,IMG_035.jpg,Session1, 2016-02-18 11:32:24,false,3,Coyote,
Station2,IMG_036.jpg,Session1, 2016-02-18 11:33:27,false,4,Coyote,
Station2,IMG_037.jpg,Session1, 2016-02-18 11:33:28,false,5,Coyote,
Station2,IMG_038.jpg,Session1, 2016-02-18 11:33:29,false,6,Coyote,
Station2,IMG_039.jpg,Session1, 2016-03-04 16:15:43,false,1,Coyote,
Station2,IMG_040.jpg,Session1, 2016-03-04 16:15:44,false,2,Coyote,
Station2,IMG_041.jpg,Session1, 2016-03-04 16:15:45,false,3,Coyote,
Station2,IMG_042.jpg,Session1, 2016-03-17 21:15:03,false,1,Wolf,
Station2,IMG_043.jpg,Session1, 2016-03-17 21:15:04,false,2,Wolf,
Station2,IMG_044.jpg,Session1, 2016-03-17 21:15:05,false,3,Wolf,
Station2,IMG_045.jpg,Session1, 2016-03-17 21:15:08,false,4,Wolf,
Station2,IMG_046.jpg,Session1, 2016-03-17 21:15:09,false,5,Wolf,
Station2,IMG_047.jpg,Session1, 2016-03-17 21:15:10,false,6,Wolf,
